SOURCE: Data,SOURCE: Related article,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),Trichodesmium Biomass Conversion factor (mg C/106 nifH copies),Trichodesmium Biomass (mg C m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-A Biomass Conversion factor (mg C/106 nifH copies),UCYN-B nifH Gene (x106 copies m-3),UCYN-B Biomass Conversion factor (mg C/106 nifH copies),UCYN-C nifH Gene (x106 copies m-3),UCYN-C Biomass Conversion factor (mg C/106 nifH copies),UCYN Biomass (mg C m-3),Richelia Associated Species,Richelia nifH Gene (x106 copies m-3),Richelia Biomass Conversion factor (mg C/106 nifH copies),Calothrix Associated Species,Calothrix nifH Gene  (x106 copies m-3),Calothrix Biomass Conversion factor (mg C/106 nifH copies),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-3),Total Diazotrophic Biomass (mg C m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),Chlorophyll  (mg m-3),Notes,Gamma A nifH Gene (x106 copies/m3),Gamma P nifH Gene (x106 copies/m3),CIII nifH Gene (x106 copies/m3)
"Bonnet, S., Aix Marseille Université, sophie.bonnet@univmed.fr","Bonnet et al. (2008), doi:10.5194/bg-5-215-2008",qPCR,2004-11-23,-29.92,-98.87,5,,,,0.0000,0.0002,,,,,0.0000,,,,,,,,0.000,,,,,,,,,,
"Bonnet, S., Aix Marseille Université, sophie.bonnet@univmed.fr","Bonnet et al. (2008), doi:10.5194/bg-5-215-2008",qPCR,2004-11-24,-30.70,-95.83,5,0.0000,0.3,0.000 ,0.0000,0.0002,0.0000,0.02,,,0.0000,,,,Chaetoceros,0.0000,0.01,0.0000,0.000,,,,,,,,,,
"Bonnet, S., Aix Marseille Université, sophie.bonnet@univmed.fr","Bonnet et al. (2008), doi:10.5194/bg-5-215-2008",qPCR,2004-11-26,-31.82,-91.44,5,0.0000,0.3,0.000 ,0.0000,0.0002,0.0000,0.02,,,0.0000,,,,Chaetoceros,0.0000,0.01,0.0000,0.000,,,,,,,,,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-05,57.16,16.41,4,,,,,,,,,,,see notes,104.9760,0.06,,,,6.2986,6.299,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-05,57.19,16.49,4,,,,,,,,,,,see notes,22.8600,0.06,,,,1.3716,1.372,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-05,57.23,16.57,4,,,,,,,,,,,see notes,56.9340,0.06,,,,3.4160,3.416,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-05,57.26,17.06,4,,,,,,,,,,,see notes,17.4060,0.06,,,,1.0444,1.044,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-05,57.28,17.16,4,,,,,,,,,,,see notes,83.3280,0.06,,,,4.9997,5.000,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-05,57.30,17.28,4,,,,,,,,,,,see notes,35.7840,0.06,,,,2.1470,2.147,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-05,57.32,17.38,4,,,,,,,,,,,see notes,38.3580,0.06,,,,2.3015,2.301,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-05,57.34,17.50,4,,,,,,,,,,,see notes,24.4920,0.06,,,,1.4695,1.470,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-05,57.35,18.00,4,,,,,,,,,,,see notes,166.7700,0.06,,,,10.0062,10.006,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-26,57.16,16.41,4,,,,,,,,,,,see notes,0.0000,0.06,,,,0.0000,0.000,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-26,57.19,16.49,4,,,,,,,,,,,see notes,2726.7180,0.06,,,,163.6031,163.603,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-26,57.23,16.57,4,,,,,,,,,,,see notes,3434.9963,0.06,,,,206.0998,206.100,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-26,57.26,17.06,4,,,,,,,,,,,see notes,1077.8700,0.06,,,,64.6722,64.672,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-26,57.28,17.16,4,,,,,,,,,,,see notes,1408.6860,0.06,,,,84.5212,84.521,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-26,57.30,17.28,4,,,,,,,,,,,see notes,558.2520,0.06,,,,33.4951,33.495,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-26,57.32,17.38,4,,,,,,,,,,,see notes,1804.8540,0.06,,,,108.2912,108.291,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-26,57.34,17.50,4,,,,,,,,,,,see notes,987.4740,0.06,,,,59.2484,59.248,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-06-26,57.35,18.00,4,,,,,,,,,,,see notes,168.6000,0.06,,,,10.1160,10.116,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-07-31,57.16,16.41,4,,,,,,,,,,,see notes,640.1280,0.06,,,,38.4077,38.408,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-07-31,57.19,16.49,4,,,,,,,,,,,see notes,281.6400,0.06,,,,16.8984,16.898,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-07-31,57.23,16.57,4,,,,,,,,,,,see notes,2223.5340,0.06,,,,133.4120,133.412,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-07-31,57.26,17.06,4,,,,,,,,,,,see notes,795.1500,0.06,,,,47.7090,47.709,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-07-31,57.28,17.16,4,,,,,,,,,,,see notes,1132.1580,0.06,,,,67.9295,67.929,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-07-31,57.30,17.28,4,,,,,,,,,,,see notes,1562.3700,0.06,,,,93.7422,93.742,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-07-31,57.32,17.38,4,,,,,,,,,,,see notes,252.6060,0.06,,,,15.1564,15.156,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-07-31,57.34,17.50,4,,,,,,,,,,,see notes,208.1340,0.06,,,,12.4880,12.488,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-07-31,57.35,18.00,4,,,,,,,,,,,see notes,181.9320,0.06,,,,10.9159,10.916,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-08-16,57.16,16.41,4,,,,,,,,,,,see notes,0.0000,0.06,,,,0.0000,0.000,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-08-16,57.19,16.49,4,,,,,,,,,,,see notes,125.5320,0.06,,,,7.5319,7.532,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-08-16,57.23,16.57,4,,,,,,,,,,,see notes,164.8440,0.06,,,,9.8906,9.891,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-08-16,57.26,17.06,4,,,,,,,,,,,see notes,244.3260,0.06,,,,14.6596,14.660,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-08-16,57.28,17.16,4,,,,,,,,,,,see notes,79.8960,0.06,,,,4.7938,4.794,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-08-16,57.30,17.28,4,,,,,,,,,,,see notes,59.6160,0.06,,,,3.5770,3.577,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-08-16,57.32,17.38,4,,,,,,,,,,,see notes,9.4860,0.06,,,,0.5692,0.569,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-08-16,57.34,17.50,4,,,,,,,,,,,see notes,8.4480,0.06,,,,0.5069,0.507,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-08-16,57.35,18.00,4,,,,,,,,,,,see notes,0.0000,0.06,,,,0.0000,0.000,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-10-08,57.16,16.41,4,,,,,,,,,,,see notes,6.2460,0.06,,,,0.3748,0.375,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-10-08,57.19,16.49,4,,,,,,,,,,,see notes,83.6340,0.06,,,,5.0180,5.018,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-10-08,57.23,16.57,4,,,,,,,,,,,see notes,12.4020,0.06,,,,0.7441,0.744,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-10-08,57.26,17.06,4,,,,,,,,,,,see notes,5.1000,0.06,,,,0.3060,0.306,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-10-08,57.28,17.16,4,,,,,,,,,,,see notes,13.1220,0.06,,,,0.7873,0.787,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-10-08,57.30,17.28,4,,,,,,,,,,,see notes,0.7920,0.06,,,,0.0475,0.048,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-10-08,57.32,17.38,4,,,,,,,,,,,see notes,0.0000,0.06,,,,0.0000,0.000,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-10-08,57.34,17.50,4,,,,,,,,,,,see notes,10.5300,0.06,,,,0.6318,0.632,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,2001-10-08,57.35,18.00,4,,,,,,,,,,,see notes,2.1540,0.06,,,,0.1292,0.129,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,1999-07-12,57.19,20.03,1,,,,,,,,,,,see notes,0.0000,0.06,,,,0.0000,0.000,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,1999-07-12,57.19,20.03,1,,,,,,,,,,,see notes,36.5000,0.06,,,,2.1900,2.190,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,1999-07-12,57.19,20.03,1,,,,,,,,,,,see notes,0.3740,0.06,,,,0.0224,0.022,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,1999-07-12,57.19,20.03,1,,,,,,,,,,,see notes,0.0000,0.06,,,,0.0000,0.000,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,1999-07-12,57.19,20.03,1,,,,,,,,,,,see notes,0.0000,0.06,,,,0.0000,0.000,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
"Riemann, L., University of Copenhagen, LRiemann@bio.ku.dk","Boström et al. (2007a), doi:10.1093/plankt/fbm019",qPCR,1999-07-12,57.19,20.03,1,,,,,,,,,,,see notes,0.0000,0.06,,,,0.0000,0.000,,6.00,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)",,,
