SOURCE: Data,SOURCE: Related article,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-2),Trichodesmium Biomass Conversion factor (mg C/106 nifH copies),Trichodesmium Biomass (mg C m-2),UCYN-A nifH Gene (x106 copies m-2),UCYN-A Biomass Conversion factor (mg C/106 nifH copies),UCYN-B nifH Gene (x106 copies m-2),UCYN-B Biomass Conversion factor (mg C/106 nifH copies),UCYN-C nifH Gene (x106 copies m-2),UCYN-C Biomass Conversion factor (mg C/106 nifH copies),UCYN Biomass (mg C m-2),Richelia Associated Species,Richelia nifH Gene (x106 copies m-2),Richelia Biomass Conversion factor (mg C/106 nifH copies),Calothrix Associated Species,Calothrix nifH Gene  (x106 copies m-2),Calothrix Biomass Conversion factor (mg C/106 nifH copies),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-2),Total Diazotrophic Biomass (mg C m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes,Proteobacteria nifH Gene (x106 copies/m2)
,"Fong et al. (2008), doi:10.1038/ismej.2008.22",qPCR,2005-07-26,22.75,-158.15,100,5700.00,0.3,1710.00,6700.00,0.0002,2800.00,0.02,,,57.34,"Hemiaulus, Rhizosolenia",122100.00,0.010,,,0.010 ,1221.00,2988.34,,,,,,,,4500.00
,"Fong et al. (2008), doi:10.1038/ismej.2008.22",qPCR,2005-07-26,22.83,-158.30,100,11000.00,0.3,3300.00,4100.00,0.0002,1100.00,0.02,,,22.82,"Hemiaulus, Rhizosolenia",37300.00,0.010,Chaetoceros,1300.00,0.010 ,386.00,3708.82,,,,,,,,4100.00
,"Fong et al. (2008), doi:10.1038/ismej.2008.22",qPCR,2005-08-13,22.75,-158.00,100,17000.00,0.3,5100.00,1700.00,0.0002,1500.00,0.02,,,30.34,"Hemiaulus, Rhizosolenia",3700.00,0.010,Chaetoceros,810.00,0.010 ,45.10,5175.44,,,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-04-24,7.14,-51.49,70,3497.45,0.3,1049.24,204.95,0.0002,309.00,0.02,3204.09,0.01,38.26,"Hemiaulus,Rhizosolenia",1270.58,0.010,,,,12.71,1100.20,28.20,35.10,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-04-26,10.20,-54.62,60,521.55,0.3,156.47,4.93,0.0002,78.15,0.02,116.54,0.010 ,2.73,"Hemiaulus,Rhizosolenia",144084.86,0.010,,,,1440.85,1600.04,27.70,34.90,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-01,11.45,-55.56,90,26.05,0.3,7.81,126.75,0.0002,46.50,0.02,98.19,0.010 ,1.94,"Hemiaulus,Rhizosolenia",9918.50,0.010,,,,99.19,108.94,27.70,34.60,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-04,7.77,-54.35,90,91.92,0.3,27.57,61.90,0.0002,12.41,0.02,0.07,0.010 ,0.26,"Hemiaulus,Rhizosolenia",12500.05,0.010,,,,125.00,152.84,27.80,28.60,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-11,10.77,-53.97,88,1005.62,0.3,301.69,4.01,0.0002,131.70,0.02,1904.04,0.010 ,21.68,"Hemiaulus,Rhizosolenia",303852.53,0.010,,,,3038.53,3361.89,27.50,34.30,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-12,10.75,-51.72,110,106.10,0.3,31.83,12345.12,0.0002,6.36,0.02,18.42,0.010 ,2.78,"Hemiaulus,Rhizosolenia",260.65,0.010,,,,2.61,37.22,26.10,36.40,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-13,10.58,-49.69,90,16922.85,0.3,5076.86,566.50,0.0002,620.95,0.02,712.51,0.010 ,19.66,"Hemiaulus,Rhizosolenia",1100.70,0.010,,,,11.01,5107.52,27.30,35.70,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-14,9.68,-48.33,75,38629.00,0.3,11588.70,6737.50,0.0002,46740.00,0.02,3731.02,0.010 ,973.46,"Hemiaulus,Rhizosolenia",2526.50,0.010,,,,25.27,12587.42,27.40,35.90,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-18,8.63,-56.19,80,55.00,0.3,16.50,0.10,0.0002,0.28,0.02,0.02,0.010 ,0.01,"Hemiaulus,Rhizosolenia",62.93,0.010,,,,0.63,17.13,27.60,31.40,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2007), doi:10.4319/lo.2007.52.2.0517",qPCR,2003-05-20,10.87,-54.98,70,1715.75,0.3,514.73,17.62,0.0002,4.44,0.02,136.71,0.010 ,1.46,"Hemiaulus,Rhizosolenia",5882.43,0.010,,,,58.82,575.01,27.70,32.60,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Needoba et al. (2007), doi:10.4319/lo.2007.52.4.1317",qPCR,2005-10-25,34.00,-129.00,100,,,,500.70,0.0002,44.33,0.02,15.74,,0.99,,,,,,,,0.99,19.34,33.43,0.007,0.132,0.0938,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-14,0.53,2.33,36,178.17,0.3,53.45,246.45,0.0002,2.38,0.02,,,0.10,,0.00,0.010,Chaetoceros,0.14,0.010 ,0.00,53.55,27.00,34.70,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de","Foster et al. (2009b), doi:10.1111/j.1462-2920.2008.01796.x",qPCR,2007-06-15,3.52,2.33,39,590.30,0.3,177.09,43.82,0.0002,123.36,0.02,,,2.48,Rhizosolenia,0.38,0.010,Chaetoceros,40.39,0.010 ,0.41,179.97,28.20,34.60,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-14,24.51,-109.00,50,1119.09,0.3,335.73,0.00,0.0002,42.50,0.02,,,0.85,"Rhizosolenia,Hemiaulus",174.49,0.010,,,,1.74,338.32,28.87,34.99,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-18,20.55,-106.55,55,395.65,0.3,118.69,0.00,0.0002,21.00,0.02,,,0.42,"Rhizosolenia,Hemiaulus",30.93,0.010,,,,0.31,119.42,29.49,33.93,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-12,26.51,-110.31,35,,,,0.00,0.0002,30.00,0.02,,,0.60,"Rhizosolenia,Hemiaulus",7.80,0.010,,,,0.08,0.68,27.94,35.25,,,,,,
"Foster, R.A., Max Planck Institute for Marine Microbiology, rfoster@mpi-bremen.de",,qPCR,2008-07-15,24.51,-109.00,50,257.81,0.3,77.34,,,0.00,0.02,,,0.00,"Rhizosolenia,Hemiaulus",511.05,0.010,,,,5.11,82.45,28.87,34.99,,,,,,
,"Kong et al. (2011), doi:10.3354/ame01531",qPCR,2009-08-10,21.00,115.00,150,446.3022,0.3,133.89,58.8550,0.0002,52.6266,0.02,,,1.0643,,,,,,,,134.955,28.20,33.51,0.000,0.010,,,"Sampling dates estimated, cruise in August 2009",
,"Kong et al. (2011), doi:10.3354/ame01531",qPCR,2009-08-15,19.80,116.00,150,1549.8080,0.3,464.94,3488.5365,0.0002,40.0751,0.02,,,1.4992,Rhizosolenia,155.1823,0.010,,,,1.55,467.993,29.70,33.67,0.000,0.010,,0.12,"Sampling dates estimated, cruise in August 2009",
,"Kong et al. (2011), doi:10.3354/ame01531",qPCR,2009-08-20,18.70,117.30,150,653.5015,0.3,196.05,416.3811,0.0002,196.7116,0.02,,,4.0175,Rhizosolenia,49.9791,0.010,,,,0.50,200.568,29.80,33.60,0.000,0.029,,0.06,"Sampling dates estimated, cruise in August 2009",
,"Kong et al. (2011), doi:10.3354/ame01531",qPCR,2009-08-25,18.00,118.00,150,33611.2146,0.3,10083.36,16.4765,0.0002,149.3164,0.02,,,2.9896,Rhizosolenia,40.9758,0.010,,,,0.41,10086.764,28.70,33.39,0.000,0.020,,0.09,"Sampling dates estimated, cruise in August 2009",
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2002-11-01,5.29,-24.03,100,19.87,0.3,5.96,0.00,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,5.96,28.52,34.67,0.030,0.030,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2002-11-04,11.00,-21.67,80,13.76,0.3,4.13,6.68,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,4.13,28.69,35.25,0.030,0.030,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2002-11-05,11.50,-18.73,80,6.50,0.3,1.95,0.49,0.0002,3.90,0.02,0.00,0.010 ,0.08,,,,,,,,2.03,28.75,35.00,0.060,0.020,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2002-11-07,11.00,-19.75,70,21.01,0.3,6.30,0.00,0.0002,0.00,0.02,80.56,0.010 ,0.81,,,,,,,,7.11,29.03,34.94,0.000,0.010,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2002-11-08,11.00,-20.42,60,84.32,0.3,25.30,21.77,0.0002,0.00,0.02,61.28,0.010 ,0.62,,,,,,,,25.91,28.99,35.55,0.040,0.020,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2002-11-09,8.40,-18.50,60,29.31,0.3,8.79,6.78,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,8.79,28.87,35.36,,,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2004-03-12,22.06,-63.23,160,64.09,0.3,19.23,0.00,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,19.23,25.58,36.64,0.029,0.147,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2004-03-12,23.30,-64.17,140,178.84,0.3,53.65,0.00,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,53.65,25.28,36.67,0.078,0.068,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2004-03-13,25.79,-66.00,140,0.00,0.3,0.00,0.00,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,0.00,23.38,36.83,0.000,0.084,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2004-03-15,29.72,-61.30,120,0.00,0.3,0.00,0.00,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,0.00,21.19,36.81,0.029,0.100,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2004-03-22,28.21,-53.78,145,0.00,0.3,0.00,0.00,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,0.00,22.03,36.91,0.010,0.051,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2004-03-27,38.99,-44.01,200,0.00,0.3,0.00,0.00,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,0.00,17.28,36.43,1.657,0.207,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2004-03-28,42.00,-43.00,100,0.00,0.3,0.00,0.00,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,0.00,16.29,36.34,4.094,0.331,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2004-04-01,33.01,-41.49,165,15.47,0.3,4.64,0.00,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,4.64,19.75,36.67,0.010,0.116,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2004-04-04,33.98,-30.63,160,0.00,0.3,0.00,8.17,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,0.00,18.47,36.59,0.205,0.116,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2004-04-05,33.98,-30.17,150,0.00,0.3,0.00,0.00,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,0.00,17.93,36.46,0.263,0.084,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2004-04-05,32.58,-28.58,140,0.00,0.3,0.00,13.41,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,0.00,19.18,36.68,0.088,0.068,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2004-04-06,30.81,-26.73,160,92.79,0.3,27.84,805.62,0.0002,0.00,0.02,0.00,0.010 ,0.16,,,,,,,,28.00,20.02,36.95,0.019,0.051,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2004-04-07,33.80,-25.13,110,0.00,0.3,0.00,173.90,0.0002,0.00,0.02,0.00,0.010 ,0.03,,,,,,,,0.03,18.14,36.34,0.039,0.034,,,,
"LaRoche, J., Leibniz Institute for Marine Sciences, jlaroche@ifm-geomar.de","Langlois et al. (2008), doi:10.1128/Aem.01720-07",qPCR,2004-04-12,37.59,-13.48,125,0.00,0.3,0.00,0.00,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,0.00,15.83,36.27,0.643,0.147,,,,
,"Mazard et al. (2004), doi:10.1128/Aem.70.12.7355-7364.2004",qPCR,2001-09-07,0.00,67.00,150,,,,,,13511.5502,0.02,,,270.2310,,,,,,,,270.231,,,,,,,"Sampling dates estimated, cruise in 2001-09-01 to 2001-09-27",
,"Mazard et al. (2004), doi:10.1128/Aem.70.12.7355-7364.2004",qPCR,2001-09-09,3.80,67.00,220,,,,,,1439.3443,0.02,,,28.7869,,,,,,,,28.787,,,,,,,"Sampling dates estimated, cruise in 2001-09-01 to 2001-09-27",
,"Mazard et al. (2004), doi:10.1128/Aem.70.12.7355-7364.2004",qPCR,2001-09-12,7.60,67.00,150,,,,,,783.0601,0.02,,,15.6612,,,,,,,,15.661,,,,,,,"Sampling dates estimated, cruise in 2001-09-01 to 2001-09-27",
,"Mazard et al. (2004), doi:10.1128/Aem.70.12.7355-7364.2004",qPCR,2001-09-26,26.00,56.58,95,,,,,,512.5683,0.02,,,10.2514,,,,,,,,10.251,,,,,,,"Sampling dates estimated, cruise in 2001-09-01 to 2001-09-27",
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2008), doi:10.1038/ismej.2008.51",qPCR,2006-04-17,9.99,108.78,75,10937.76,0.3,6.53,22.05,0.0002,,,,,0.00,,,,,,,,6.54,,,,,,,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2008), doi:10.1038/ismej.2008.51",qPCR,2006-04-18,10.32,109.07,120,7611.10,0.3,2283.33,0.00,0.0002,74.99,0.02,,,1.50,,,,,,,,2284.83,,,,,,,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2008), doi:10.1038/ismej.2008.51",qPCR,2006-04-18,9.78,109.52,1144,5580.53,0.3,1674.16,0.00,0.0002,,,,,0.00,,,,,,,,1674.16,,,,,,,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2008), doi:10.1038/ismej.2008.51",qPCR,2006-04-19,10.95,109.75,280,1410.69,0.3,423.21,0.00,0.0002,1.19,0.02,,,0.02,,,,,,,,423.23,,,,,,,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2008), doi:10.1038/ismej.2008.51",qPCR,2006-04-19,10.52,110.37,1700,14009.20,0.3,4202.76,0.00,0.0002,,,,,0.00,,,,,,,,4202.76,,,,,,,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2008), doi:10.1038/ismej.2008.51",qPCR,2006-04-19,10.03,109.97,1500,2112.64,0.3,633.79,718.78,0.0002,,,,,0.14,,,,,,,,633.94,,,,,,,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2008), doi:10.1038/ismej.2008.51",qPCR,2006-04-20,11.63,109.51,126,1508.30,0.3,452.49,0.00,0.0002,,,,,0.00,,,,,,,,452.49,,,,,,,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2008), doi:10.1038/ismej.2008.51",qPCR,2006-04-20,11.39,110.09,600,769.39,0.3,230.82,0.00,0.0002,,,,,0.00,,,,,,,,230.82,,,,,,,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-03-17,-15.00,155.00,149,1479.06,0.3,443.72,4.10,0.0002,4921.97,0.02,,,98.44,"Rhizosolenia,Hemiaulus",20.53,0.010,,,,0.21,542.36,29.17,34.44,2.000,114.115,,0.08,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-03-18,-17.50,155.80,149,20.57,0.3,6.17,8843.43,0.0002,1677.52,0.02,,,35.32,"Rhizosolenia,Hemiaulus",5.76,0.010,,,,0.06,41.55,28.21,34.75,1.429,115.016,,0.06,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-03-19,-20.00,156.61,150,85.31,0.3,25.59,17541.38,0.0002,12906.11,0.02,,,261.63,"Rhizosolenia,Hemiaulus",27.91,0.010,,,,0.28,287.50,27.66,34.93,7.072,113.515,,0.02,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-03-20,-22.50,157.43,149,50.58,0.3,15.17,20186.63,0.0002,3494.72,0.02,,,73.93,"Rhizosolenia,Hemiaulus",35.86,0.010,,,,0.36,89.46,27.08,35.14,3.592,98.353,,0.03,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-03-21,-25.00,158.27,151,54.67,0.3,16.40,19532.41,0.0002,551.36,0.02,,,14.93,"Rhizosolenia,Hemiaulus",8.04,0.010,,,,0.08,31.42,25.81,35.39,2.279,93.399,,0.07,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-03-22,-27.50,159.12,150,127.37,0.3,38.21,38365.31,0.0002,608.92,0.02,,,19.85,"Rhizosolenia,Hemiaulus",10.68,0.010,,,,0.11,58.17,25.30,35.67,7.471,55.268,,0.10,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-03-22,-30.00,160.00,149,296.75,0.3,89.03,87001.38,0.0002,85.82,0.02,,,19.12,"Rhizosolenia,Hemiaulus",7.93,0.010,,,,0.08,108.22,24.29,35.74,5.368,54.968,,0.08,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-03-24,-27.69,162.03,150,154.78,0.3,46.43,72191.67,0.0002,1884.84,0.02,,,52.14,"Rhizosolenia,Hemiaulus",16.36,0.010,,,,0.16,98.73,24.27,35.90,,,,0.09,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-03-25,-25.38,164.01,149,640.28,0.3,192.08,32768.90,0.0002,1110.69,0.02,,,28.77,,,,,,,,220.85,25.16,35.65,20.000,65.000,,0.10,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-03-28,-23.05,166.23,150,1342.37,0.3,402.71,10329.31,0.0002,1285.73,0.02,,,27.78,,,,,,,,430.49,25.52,35.50,6.000,79.000,,0.13,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-03-29,-22.55,170.39,149,8548.17,0.3,2564.45,13138.72,0.0002,1024.40,0.02,,,23.12,"Rhizosolenia,Hemiaulus",12.43,0.010,,,,0.12,2587.69,26.42,35.37,4.849,49.000,,0.33,,
"Moisander, P.H., University of Massachusetts Dartmouth, pmoisander@umassd.edu","Moisander et al. (2010), doi:10.1126/science.1185468",qPCR,2003-03-30,-22.05,174.35,129,18883.55,0.3,5665.07,10544.72,0.0002,2045.54,0.02,,,43.02,,,,,,,,5708.09,26.72,35.48,5.539,40.000,,0.17,,
