SOURCE: Related article or authors,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),UCYN-A1 nifH Gene (x106 copies m-3),UCYN-A2/A3/A4 nifH Gene (x106 copies m-3),Total UCYN-A nifH Gene (x106 copies m-3),UCYN-B nifH Gene (x106 copies m-3),UCYN-C nifH Gene (x106 copies m-3),Richelia Associated Species,Total Richelia (het-1 +het-2) nifH Gene (x106 copies m-3),Richelia  (het-1 or RintRC02) nifH Gene (x106 copies m-3),Richelia  (het-2 or ReuHH01) nifH Gene (x106 copies m-3),Richelia  ( RrhiSC01) nifH Gene (x106 copies m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),SiO2 (µM),Chlorophyll  (mg m-3),Notes
,qPCR,5/28/2019,10.99 ,154.97 ,50.0 ,0.153 ,0.28 ,0.68 ,0.96 ,1.661 ,,"Rhizosolenia,Hemiaulus",0.190 ,,,,,,,,,,,
,qPCR,5/28/2019,10.99 ,154.97 ,75.0 ,0.001 ,0.80 ,0.84 ,1.64 ,4.351 ,,"Rhizosolenia,Hemiaulus",0.576 ,,,,,,,,,,,
,qPCR,5/28/2019,10.99 ,154.97 ,100.0 ,0.001 ,0.32 ,0.00 ,0.32 ,2.117 ,,"Rhizosolenia,Hemiaulus",0.186 ,,,,,,,,,,,
,qPCR,5/28/2019,10.99 ,154.97 ,145.0 ,0.448 ,1.67 ,0.00 ,1.67 ,0.425 ,,"Rhizosolenia,Hemiaulus",0.001 ,,,,,,,,,,,
,qPCR,5/31/2019,11.01 ,149.97 ,5.0 ,26.204 ,0.18 ,0.21 ,0.40 ,0.276 ,,"Rhizosolenia,Hemiaulus",0.774 ,,,,,,,,,,,
,qPCR,5/31/2019,11.01 ,149.97 ,25.0 ,37.343 ,0.10 ,0.00 ,0.10 ,0.577 ,,"Rhizosolenia,Hemiaulus",0.189 ,,,,,,,,,,,
,qPCR,5/31/2019,11.01 ,149.97 ,50.0 ,0.001 ,0.20 ,0.56 ,0.76 ,0.236 ,,"Rhizosolenia,Hemiaulus",0.614 ,,,,,,,,,,,
,qPCR,5/31/2019,11.01 ,149.97 ,75.0 ,0.001 ,0.23 ,1.47 ,1.70 ,0.605 ,,"Rhizosolenia,Hemiaulus",0.341 ,,,,,,,,,,,
,qPCR,5/31/2019,11.01 ,149.97 ,100.0 ,0.001 ,0.00 ,0.00 ,0.00 ,0.373 ,,"Rhizosolenia,Hemiaulus",0.204 ,,,,,,,,,,,
,qPCR,5/31/2019,11.01 ,149.97 ,140.0 ,0.141 ,0.24 ,0.00 ,0.24 ,0.244 ,,"Rhizosolenia,Hemiaulus",0.001 ,,,,,,,,,,,
,qPCR,6/2/2019,11.03 ,144.97 ,5.0 ,0.260 ,0.02 ,0.14 ,0.17 ,2.476 ,,"Rhizosolenia,Hemiaulus",0.289 ,,,,,,,,,,,
,qPCR,6/2/2019,11.03 ,144.97 ,25.0 ,0.001 ,0.05 ,0.00 ,0.06 ,1.487 ,,"Rhizosolenia,Hemiaulus",0.083 ,,,,,,,,,,,
,qPCR,6/2/2019,11.03 ,144.97 ,50.0 ,0.147 ,0.18 ,0.80 ,0.97 ,1.053 ,,"Rhizosolenia,Hemiaulus",0.435 ,,,,,,,,,,,
,qPCR,6/2/2019,11.03 ,144.97 ,75.0 ,0.001 ,0.08 ,0.64 ,0.72 ,1.735 ,,"Rhizosolenia,Hemiaulus",0.145 ,,,,,,,,,,,
,qPCR,6/2/2019,11.03 ,144.97 ,100.0 ,0.001 ,0.00 ,0.12 ,0.12 ,0.255 ,,"Rhizosolenia,Hemiaulus",0.187 ,,,,,,,,,,,
,qPCR,6/2/2019,11.03 ,144.97 ,115.0 ,0.001 ,0.04 ,0.00 ,0.05 ,0.163 ,,"Rhizosolenia,Hemiaulus",0.001 ,,,,,,,,,,,
,qPCR,6/4/2019,11.02 ,139.79 ,5.0 ,0.469 ,0.10 ,0.21 ,0.30 ,1.031 ,,"Rhizosolenia,Hemiaulus",0.168 ,,,,,,,,,,,
,qPCR,6/4/2019,11.02 ,139.79 ,25.0 ,0.001 ,0.10 ,0.10 ,0.21 ,0.136 ,,"Rhizosolenia,Hemiaulus",0.028 ,,,,,,,,,,,
,qPCR,6/4/2019,11.02 ,139.79 ,50.0 ,0.001 ,0.10 ,0.63 ,0.73 ,1.099 ,,"Rhizosolenia,Hemiaulus",1.062 ,,,,,,,,,,,
,qPCR,6/4/2019,11.02 ,139.79 ,75.0 ,0.001 ,0.09 ,1.03 ,1.12 ,0.439 ,,"Rhizosolenia,Hemiaulus",0.200 ,,,,,,,,,,,
,qPCR,6/4/2019,11.02 ,139.79 ,100.0 ,0.001 ,0.00 ,0.09 ,0.09 ,0.131 ,,"Rhizosolenia,Hemiaulus",0.113 ,,,,,,,,,,,
,qPCR,6/4/2019,11.02 ,139.79 ,120.0 ,0.001 ,0.04 ,0.00 ,0.04 ,0.165 ,,"Rhizosolenia,Hemiaulus",0.001 ,,,,,,,,,,,
,qPCR,6/6/2019,11.02 ,134.69 ,5.0 ,0.001 ,0.13 ,0.16 ,0.29 ,0.001 ,,"Rhizosolenia,Hemiaulus",0.168 ,,,,,,,,,,,
,qPCR,6/6/2019,11.02 ,134.69 ,25.0 ,0.325 ,0.07 ,0.11 ,0.18 ,1.260 ,,"Rhizosolenia,Hemiaulus",0.088 ,,,,,,,,,,,
,qPCR,6/6/2019,11.02 ,134.69 ,50.0 ,0.001 ,0.11 ,0.62 ,0.72 ,0.685 ,,"Rhizosolenia,Hemiaulus",0.496 ,,,,,,,,,,,
,qPCR,6/6/2019,11.02 ,134.69 ,75.0 ,0.001 ,0.26 ,0.79 ,1.04 ,1.337 ,,"Rhizosolenia,Hemiaulus",0.191 ,,,,,,,,,,,
,qPCR,6/6/2019,11.02 ,134.69 ,100.0 ,0.001 ,0.07 ,0.14 ,0.21 ,0.499 ,,"Rhizosolenia,Hemiaulus",0.105 ,,,,,,,,,,,
,qPCR,6/6/2019,11.02 ,134.69 ,110.0 ,0.001 ,0.13 ,0.00 ,0.13 ,0.084 ,,"Rhizosolenia,Hemiaulus",0.001 ,,,,,,,,,,,
,qPCR,6/7/2019,11.00 ,129.96 ,5.0 ,0.964 ,0.15 ,0.00 ,0.15 ,7.984 ,,"Rhizosolenia,Hemiaulus",0.144 ,,,,,,,,,,,
,qPCR,6/7/2019,11.00 ,129.96 ,15.0 ,0.001 ,0.08 ,0.00 ,0.08 ,16.362 ,,"Rhizosolenia,Hemiaulus",0.037 ,,,,,,,,,,,
,qPCR,6/7/2019,11.00 ,129.96 ,25.0 ,2.508 ,1.24 ,0.55 ,1.79 ,47.318 ,,"Rhizosolenia,Hemiaulus",1.130 ,,,,,,,,,,,
,qPCR,6/7/2019,11.00 ,129.96 ,50.0 ,1.216 ,0.50 ,1.03 ,1.53 ,7.130 ,,"Rhizosolenia,Hemiaulus",0.580 ,,,,,,,,,,,
,qPCR,6/7/2019,11.00 ,129.96 ,85.0 ,0.025 ,0.13 ,0.00 ,0.13 ,2.073 ,,"Rhizosolenia,Hemiaulus",0.105 ,,,,,,,,,,,
,qPCR,6/7/2019,11.00 ,129.96 ,100.0 ,0.001 ,0.18 ,0.00 ,0.18 ,0.281 ,,"Rhizosolenia,Hemiaulus",0.001 ,,,,,,,,,,,
,qPCR,6/9/2019,15.50 ,127.77 ,5.0 ,27.809 ,0.27 ,0.63 ,0.90 ,4122.573 ,,"Rhizosolenia,Hemiaulus",0.898 ,,,,,,,,,,,
,qPCR,6/9/2019,15.50 ,127.77 ,25.0 ,36.601 ,7.00 ,1.59 ,8.59 ,6405.929 ,,"Rhizosolenia,Hemiaulus",0.643 ,,,,,,,,,,,
,qPCR,6/9/2019,15.50 ,127.77 ,50.0 ,38.977 ,839.14 ,56.11 ,895.26 ,2037.788 ,,"Rhizosolenia,Hemiaulus",2.261 ,,,,,,,,,,,
,qPCR,6/9/2019,15.50 ,127.77 ,75.0 ,14.850 ,1810.27 ,154.22 ,1964.50 ,683.193 ,,"Rhizosolenia,Hemiaulus",1.087 ,,,,,,,,,,,
,qPCR,6/9/2019,15.50 ,127.77 ,100.0 ,0.314 ,0.67 ,0.16 ,0.83 ,4.879 ,,"Rhizosolenia,Hemiaulus",0.482 ,,,,,,,,,,,
,qPCR,6/9/2019,15.50 ,127.77 ,125.0 ,0.001 ,0.19 ,0.00 ,0.19 ,0.748 ,,"Rhizosolenia,Hemiaulus",0.498 ,,,,,,,,,,,
,qPCR,6/18/2019,21.32 ,118.84 ,5.0 ,122.649 ,0.87 ,6.65 ,7.52 ,77.860 ,,"Rhizosolenia,Hemiaulus",0.463 ,,,,,,,,,,,
,qPCR,6/18/2019,21.32 ,118.84 ,25.0 ,19.356 ,3.99 ,7.05 ,11.04 ,109.247 ,,"Rhizosolenia,Hemiaulus",0.315 ,,,,,,,,,,,
,qPCR,6/18/2019,21.32 ,118.84 ,50.0 ,1.280 ,270.57 ,24.06 ,294.63 ,72.771 ,,"Rhizosolenia,Hemiaulus",4.626 ,,,,,,,,,,,
,qPCR,6/18/2019,21.32 ,118.84 ,75.0 ,1.427 ,0.29 ,1.02 ,1.30 ,3.632 ,,"Rhizosolenia,Hemiaulus",0.235 ,,,,,,,,,,,
,qPCR,6/18/2019,21.32 ,118.84 ,100.0 ,0.001 ,0.00 ,0.14 ,0.14 ,0.811 ,,"Rhizosolenia,Hemiaulus",0.135 ,,,,,,,,,,,
,qPCR,6/18/2019,21.32 ,118.84 ,150.0 ,0.554 ,0.24 ,0.00 ,0.25 ,0.656 ,,"Rhizosolenia,Hemiaulus",0.001 ,,,,,,,,,,,
,qPCR,6/19/2019,19.00 ,117.00 ,5.0 ,51.738 ,0.26 ,0.46 ,0.72 ,0.473 ,,"Rhizosolenia,Hemiaulus",0.102 ,,,,,,,,,,,
,qPCR,6/19/2019,19.00 ,117.00 ,25.0 ,0.001 ,0.06 ,0.04 ,0.09 ,0.301 ,,"Rhizosolenia,Hemiaulus",0.045 ,,,,,,,,,,,
,qPCR,6/19/2019,19.00 ,117.00 ,60.0 ,22.946 ,0.21 ,0.77 ,0.97 ,0.338 ,,"Rhizosolenia,Hemiaulus",0.860 ,,,,,,,,,,,
,qPCR,6/19/2019,19.00 ,117.00 ,75.0 ,0.422 ,0.21 ,1.18 ,1.39 ,1.527 ,,"Rhizosolenia,Hemiaulus",0.235 ,,,,,,,,,,,
,qPCR,6/19/2019,19.00 ,117.00 ,100.0 ,1.272 ,0.26 ,0.11 ,0.38 ,0.181 ,,"Rhizosolenia,Hemiaulus",0.089 ,,,,,,,,,,,
,qPCR,6/19/2019,19.00 ,117.00 ,150.0 ,0.001 ,0.07 ,0.00 ,0.08 ,0.001 ,,"Rhizosolenia,Hemiaulus",0.001 ,,,,,,,,,,,
,qPCR,6/20/2019,18.00 ,116.00 ,5.0 ,162.981 ,4.70 ,1.49 ,6.19 ,1.569 ,,"Rhizosolenia,Hemiaulus",2.086 ,,,,,,,,,,,
,qPCR,6/20/2019,18.00 ,116.00 ,25.0 ,139.265 ,60.79 ,11.76 ,72.55 ,10.914 ,,"Rhizosolenia,Hemiaulus",0.433 ,,,,,,,,,,,
,qPCR,6/20/2019,18.00 ,116.00 ,60.0 ,0.328 ,0.40 ,0.61 ,1.01 ,1.181 ,,"Rhizosolenia,Hemiaulus",0.633 ,,,,,,,,,,,
,qPCR,6/20/2019,18.00 ,116.00 ,75.0 ,0.456 ,0.30 ,1.06 ,1.36 ,1.860 ,,"Rhizosolenia,Hemiaulus",0.198 ,,,,,,,,,,,
,qPCR,6/20/2019,18.00 ,116.00 ,100.0 ,0.001 ,0.00 ,0.15 ,0.15 ,0.001 ,,"Rhizosolenia,Hemiaulus",0.168 ,,,,,,,,,,,
,qPCR,6/20/2019,18.00 ,116.00 ,150.0 ,0.001 ,0.18 ,0.00 ,0.18 ,0.261 ,,"Rhizosolenia,Hemiaulus",0.001 ,,,,,,,,,,,
,qPCR,6/24/2019,19.00 ,115.50 ,5.0 ,34.358 ,0.13 ,0.00 ,0.13 ,1.111 ,,"Rhizosolenia,Hemiaulus",1.327 ,,,,,,,,,,,
,qPCR,6/24/2019,19.00 ,115.50 ,25.0 ,195.475 ,6.69 ,4.73 ,11.42 ,13.969 ,,"Rhizosolenia,Hemiaulus",0.577 ,,,,,,,,,,,
,qPCR,6/24/2019,19.00 ,115.50 ,50.0 ,22.225 ,374.84 ,24.00 ,398.84 ,28.883 ,,"Rhizosolenia,Hemiaulus",2.972 ,,,,,,,,,,,
,qPCR,6/24/2019,19.00 ,115.50 ,65.0 ,3.081 ,0.37 ,1.07 ,1.44 ,1.260 ,,"Rhizosolenia,Hemiaulus",1.049 ,,,,,,,,,,,
,qPCR,6/24/2019,19.00 ,115.50 ,100.0 ,0.001 ,0.27 ,0.10 ,0.36 ,0.243 ,,"Rhizosolenia,Hemiaulus",0.115 ,,,,,,,,,,,
,qPCR,6/24/2019,19.00 ,115.50 ,150.0 ,0.268 ,0.07 ,0.00 ,0.07 ,0.381 ,,"Rhizosolenia,Hemiaulus",0.001 ,,,,,,,,,,,
,qPCR,6/25/2019,19.75 ,115.12 ,5.0 ,118.844 ,0.14 ,0.00 ,0.14 ,0.164 ,,"Rhizosolenia,Hemiaulus",1.816 ,,,,,,,,,,,
,qPCR,6/25/2019,19.75 ,115.12 ,25.0 ,110.010 ,5.99 ,2.26 ,8.25 ,4.442 ,,"Rhizosolenia,Hemiaulus",0.179 ,,,,,,,,,,,
,qPCR,6/25/2019,19.75 ,115.12 ,50.0 ,5.112 ,533.75 ,19.66 ,553.41 ,20.073 ,,"Rhizosolenia,Hemiaulus",1.323 ,,,,,,,,,,,
,qPCR,6/25/2019,19.75 ,115.12 ,75.0 ,0.001 ,0.30 ,1.25 ,1.55 ,0.830 ,,"Rhizosolenia,Hemiaulus",0.195 ,,,,,,,,,,,
,qPCR,6/25/2019,19.75 ,115.12 ,100.0 ,0.001 ,0.28 ,0.14 ,0.42 ,0.148 ,,"Rhizosolenia,Hemiaulus",0.231 ,,,,,,,,,,,
,qPCR,6/25/2019,19.75 ,115.12 ,150.0 ,0.001 ,0.31 ,0.00 ,0.31 ,0.158 ,,"Rhizosolenia,Hemiaulus",0.001 ,,,,,,,,,,,
,qPCR,6/27/2019,20.33 ,114.82 ,5.0 ,22.123 ,0.96 ,1.41 ,2.37 ,3.659 ,,"Rhizosolenia,Hemiaulus",2.901 ,,,,,,,,,,,
,qPCR,6/27/2019,20.33 ,114.82 ,25.0 ,14.571 ,34.66 ,7.56 ,42.22 ,10.005 ,,"Rhizosolenia,Hemiaulus",0.624 ,,,,,,,,,,,
,qPCR,6/27/2019,20.33 ,114.82 ,50.0 ,1.819 ,19.19 ,0.83 ,20.02 ,1.463 ,,"Rhizosolenia,Hemiaulus",0.868 ,,,,,,,,,,,
,qPCR,6/27/2019,20.33 ,114.82 ,65.0 ,0.426 ,0.29 ,0.85 ,1.15 ,1.056 ,,"Rhizosolenia,Hemiaulus",0.227 ,,,,,,,,,,,
,qPCR,6/27/2019,20.33 ,114.82 ,100.0 ,0.001 ,0.00 ,0.12 ,0.12 ,0.601 ,,"Rhizosolenia,Hemiaulus",0.261 ,,,,,,,,,,,
,qPCR,6/27/2019,20.33 ,114.82 ,130.0 ,1.084 ,0.11 ,0.00 ,0.11 ,0.206 ,,"Rhizosolenia,Hemiaulus",0.001 ,,,,,,,,,,,
,qPCR,6/28/2019,21.00 ,114.50 ,5.0 ,15.238 ,0.39 ,0.72 ,1.11 ,3.975 ,,"Rhizosolenia,Hemiaulus",0.317 ,,,,,,,,,,,
,qPCR,6/28/2019,21.00 ,114.50 ,15.0 ,9.095 ,0.28 ,0.00 ,0.28 ,3.570 ,,"Rhizosolenia,Hemiaulus",0.044 ,,,,,,,,,,,
,qPCR,6/28/2019,21.00 ,114.50 ,25.0 ,14.303 ,1.80 ,0.71 ,2.51 ,1.510 ,,"Rhizosolenia,Hemiaulus",0.809 ,,,,,,,,,,,
,qPCR,6/28/2019,21.00 ,114.50 ,58.0 ,0.001 ,0.67 ,1.29 ,1.96 ,1.429 ,,"Rhizosolenia,Hemiaulus",0.215 ,,,,,,,,,,,
,qPCR,6/28/2019,21.00 ,114.50 ,75.0 ,0.416 ,0.12 ,0.27 ,0.39 ,0.217 ,,"Rhizosolenia,Hemiaulus",0.314 ,,,,,,,,,,,
,qPCR,7/1/2019,21.83 ,119.10 ,5.0 ,252.220 ,0.15 ,0.80 ,0.95 ,10.772 ,,"Rhizosolenia,Hemiaulus",6.661 ,,,,,,,,,,,
,qPCR,7/1/2019,21.83 ,119.10 ,25.0 ,NaN,NaN,NaN,NaN,NaN,,"Rhizosolenia,Hemiaulus",NaN,,,,,,,,,,,
,qPCR,7/1/2019,21.83 ,119.10 ,50.0 ,34.402 ,0.52 ,0.24 ,0.76 ,8.261 ,,"Rhizosolenia,Hemiaulus",0.349 ,,,,,,,,,,,
,qPCR,7/1/2019,21.83 ,119.10 ,70.0 ,6.438 ,0.11 ,0.75 ,0.86 ,0.665 ,,"Rhizosolenia,Hemiaulus",0.758 ,,,,,,,,,,,
,qPCR,7/1/2019,21.83 ,119.10 ,100.0 ,6.768 ,0.23 ,1.57 ,1.80 ,8.993 ,,"Rhizosolenia,Hemiaulus",0.424 ,,,,,,,,,,,
,qPCR,7/1/2019,21.83 ,119.10 ,150.0 ,0.001 ,0.89 ,0.49 ,1.38 ,12.746 ,,"Rhizosolenia,Hemiaulus",0.690 ,,,,,,,,,,,
,qPCR,7/6/2018,18.00 ,116.25 ,5.0 ,,,,,,,,,,,,,,,,,,,
,qPCR,7/6/2018,18.00 ,116.25 ,25.0 ,,,,,,,,,,,,,,,,,,,
,qPCR,7/6/2018,18.00 ,116.25 ,75.0 ,,,,,,,,,,,,,,,,,,,
,qPCR,7/6/2018,18.00 ,116.25 ,88.0 ,,,,,,,,,,,,,,,,,,,
,qPCR,7/6/2018,18.00 ,116.25 ,100.0 ,,,,,,,,,,,,,,,,,,,
,qPCR,7/6/2018,18.00 ,116.25 ,150.0 ,,,,,,,,,,,,,,,,,,,
,qPCR,7/1/2018,19.57 ,117.94 ,5.0 ,,,,,,,,,,,,,,,,,,,
,qPCR,7/1/2018,19.57 ,117.94 ,25.0 ,,,,,,,,,,,,,,,,,,,
,qPCR,7/1/2018,19.57 ,117.94 ,50.0 ,,,,,,,,,,,,,,,,,,,
,qPCR,7/1/2018,19.57 ,117.94 ,95.0 ,,,,,,,,,,,,,,,,,,,
,qPCR,7/1/2018,19.57 ,117.94 ,100.0 ,,,,,,,,,,,,,,,,,,,
,qPCR,7/1/2018,19.57 ,117.94 ,150.0 ,,,,,,,,,,,,,,,,,,,
"Sato et al, 2020 doi: 10.1029/2020JC017071 ",qPCR,6/5/2018,41.50 ,139.83 ,0.0 ,,882.61 ,,882.61 ,,,,,,,,,,,,,,,
,qPCR,6/5/2018,42.52 ,139.70 ,0.0 ,,3.02 ,,3.02 ,,,,,,,,,,,,,,,
,qPCR,5/31/2018,43.50 ,140.33 ,0.0 ,,n.d,,n.d,,,,,,,,,,,,,,,
data come from supplementary Table,qPCR,6/1/2018,44.50 ,141.50 ,0.0 ,,n.d,,n.d,,,,,,,,,,,,,,,
,qPCR,6/1/2018,45.50 ,141.42 ,0.0 ,,n.d,,n.d,,,,,,,,,,,,,,,
,qPCR,6/1/2018,45.55 ,142.08 ,0.0 ,,n.d,,n.d,,,,,,,,,,,,,,,
,qPCR,6/4/2018,45.50 ,142.50 ,0.0 ,,407.17 ,,407.17 ,,,,,,,,,,,,,,,
,qPCR,6/4/2018,45.32 ,142.68 ,0.0 ,,1.48 ,,1.48 ,,,,,,,,,,,,,,,
,qPCR,6/4/2018,45.02 ,143.17 ,0.0 ,,0.51 ,,0.51 ,,,,,,,,,,,,,,,
,qPCR,6/4/2018,44.88 ,142.88 ,0.0 ,,135.07 ,,135.07 ,,,,,,,,,,,,,,,
,qPCR,6/1/2018,44.50 ,143.33 ,0.0 ,,3.02 ,,3.02 ,,,,,,,,,,,,,,,
,qPCR,6/2/2018,44.23 ,144.13 ,0.0 ,,1.48 ,,1.48 ,,,,,,,,,,,,,,,
,qPCR,6/2/2018,44.50 ,144.33 ,0.0 ,,n.d,,n.d,,,,,,,,,,,,,,,
,qPCR,6/3/2018,45.00 ,144.75 ,0.0 ,,n.d,,n.d,,,,,,,,,,,,,,,
,qPCR,6/3/2018,45.42 ,145.17 ,0.0 ,,710.69 ,,710.69 ,,,,,,,,,,,,,,,
,qPCR,6/2/2018,44.63 ,145.37 ,0.0 ,,1.51 ,,1.51 ,,,,,,,,,,,,,,,
,qPCR,6/6/2018,42.17 ,141.25 ,0.0 ,,1.51 ,,1.51 ,,,,,,,,,,,,,,,
,qPCR,6/6/2018,41.88 ,142.73 ,0.0 ,,430.45 ,,430.45 ,,,,,,,,,,,,,,,
,qPCR,6/7/2018,43.00 ,145.83 ,0.0 ,,7.50 ,,7.50 ,,,,,,,,,,,,,,,
,qPCR,6/5/2018,42.52 ,139.70 ,9.0 ,,0.44 ,,0.44 ,,,,,,,,,,,,,,,
,qPCR,6/5/2018,42.52 ,139.70 ,20.0 ,,n.d,,n.d,,,,,,,,,,,,,,,
,qPCR,6/5/2018,42.52 ,139.70 ,43.0 ,,n.d,,n.d,,,,,,,,,,,,,,,
,qPCR,6/5/2018,42.52 ,139.70 ,65.0 ,,12.57 ,,12.57 ,,,,,,,,,,,,,,,
,qPCR,6/4/2018,45.32 ,142.68 ,8.0 ,,286.07 ,,286.07 ,,,,,,,,,,,,,,,
,qPCR,6/4/2018,45.32 ,142.68 ,15.0 ,,4.38 ,,4.38 ,,,,,,,,,,,,,,,
,qPCR,6/4/2018,45.32 ,142.68 ,37.0 ,,n.d,,n.d,,,,,,,,,,,,,,,
,qPCR,6/4/2018,45.32 ,142.68 ,58.0 ,,n.d,,n.d,,,,,,,,,,,,,,,
,qPCR,6/2/2018,44.50 ,144.33 ,10.0 ,,42.08 ,,42.08 ,,,,,,,,,,,,,,,
,qPCR,6/2/2018,44.50 ,144.33 ,17.0 ,,87.27 ,,87.27 ,,,,,,,,,,,,,,,
,qPCR,6/2/2018,44.50 ,144.33 ,43.0 ,,8.88 ,,8.88 ,,,,,,,,,,,,,,,
,qPCR,6/2/2018,44.50 ,144.33 ,72.0 ,,n.d,,n.d,,,,,,,,,,,,,,,
"Shiozaki et al., 2020 doi: 10.1038/s41561-020-00651-7",qPCR,12/2/2018,-40.11 ,110.08 ,0.0 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,12/2/2018,-40.11 ,110.08 ,48.7 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,12/2/2018,-40.11 ,110.08 ,132.7 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
data come from supplementary Table,qPCR,12/3/2018,-44.91 ,110.04 ,0.0 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,12/3/2018,-44.91 ,110.04 ,13.4 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,12/3/2018,-44.91 ,110.04 ,113.4 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,12/4/2018,-50.10 ,110.00 ,0.0 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,12/4/2018,-50.10 ,110.00 ,25.0 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,12/4/2018,-50.10 ,110.00 ,56.2 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,12/5/2018,-55.08 ,110.05 ,0.0 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,12/5/2018,-55.08 ,110.05 ,50.1 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,12/5/2018,-55.08 ,110.05 ,96.1 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,12/6/2018,-59.97 ,109.99 ,0.0 ,,83.60 ,,83.60 ,,,,,,,,,,,,,,,
,qPCR,12/6/2018,-59.97 ,109.99 ,60.4 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,12/6/2018,-59.97 ,109.99 ,118.1 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,3/10/2019,-64.06 ,149.93 ,0.0 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,3/10/2019,-64.06 ,149.93 ,30.6 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,3/10/2019,-64.06 ,149.93 ,61.1 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,3/11/2019,-60.03 ,150.00 ,0.0 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,3/13/2019,-54.85 ,149.97 ,0.0 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,3/13/2019,-54.85 ,149.97 ,59.9 ,,97.79 ,,97.79 ,,,,,,,,,,,,,,,
,qPCR,3/13/2019,-54.85 ,149.97 ,116.7 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,3/14/2019,-49.90 ,150.05 ,0.0 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,3/15/2019,-45.89 ,151.98 ,0.0 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,3/15/2019,-45.89 ,151.98 ,51.4 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,3/15/2019,-45.89 ,151.98 ,98.7 ,,86.78 ,,86.78 ,,,,,,,,,,,,,,,
,qPCR,1/27/2019,-69.01 ,39.23 ,0.0 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,1/27/2019,-69.01 ,39.23 ,11.3 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,1/27/2019,-69.01 ,39.23 ,50.2 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,1/27/2019,-69.01 ,39.23 ,81.5 ,,148.72 ,,148.72 ,,,,,,,,,,,,,,,
,qPCR,2/3/2019,-68.72 ,38.65 ,0.0 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,2/3/2019,-68.72 ,38.65 ,11.4 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,2/3/2019,-68.72 ,38.65 ,50.8 ,,220.23 ,,220.23 ,,,,,,,,,,,,,,,
,qPCR,2/3/2019,-68.72 ,38.65 ,103.6 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,2/6/2019,-68.34 ,38.17 ,0.0 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,2/6/2019,-68.34 ,38.17 ,64.3 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,2/6/2019,-68.34 ,38.17 ,124.3 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,2/23/2019,-67.94 ,36.39 ,0.0 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,2/23/2019,-67.94 ,36.39 ,11.4 ,,128.80 ,,128.80 ,,,,,,,,,,,,,,,
,qPCR,2/23/2019,-67.94 ,36.39 ,29.7 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,2/23/2019,-67.48 ,37.08 ,0.0 ,,129.29 ,,129.29 ,,,,,,,,,,,,,,,
,qPCR,2/24/2019,-66.85 ,37.71 ,0.0 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,2/24/2019,-66.85 ,37.71 ,56.3 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
,qPCR,2/24/2019,-66.85 ,37.71 ,107.6 ,,n.d.,,n.d.,,,,,,,,,,,,,,,
