SOURCE: Data,SOURCE: Related article,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,INTEGRAL DEPTH (m),Trichodesmium Colonies (x103 m-2),Trichodesmium Free trichomes (x106 m-2),Trichodesmium Total Trichomes (x106 m-2),Trichodesmium Biomass Conversion factor (mg C/106 trichomes),Trichodesmium Biomass (mg C m-2),UCYN Cells (x106 m-2),UCYN Biomass Conversion factor (mg C/106 cells),UCYN Biomass (mg C m-2),Richelia Associated Species,Richelia Cells (x106 m-2),Richelia Biomass Conversion factor (mg C/106 cells),Calothrix Associated Species,Calothrix Cells  (x106 m-2),Calothrix Biomass Conversion factor (mg C/106 cells),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-2),Total Diazotrophic Biomass (mg C m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-25,31.00,-10.91,60,,0.0347,0.0347,30,1.040,,,,,,,,,,,1.040,19.77,36.37,0.41,0.72,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-26,31.11,-10.60,60,,0.3813,0.3813,30,11.439,,,,,,,,,,,11.439,20.37,36.11,2.42,0.78,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-28,31.01,-11.31,60,,0.0541,0.0541,30,1.623,,,,,,,,,,,1.623,19.96,36.38,0.06,0.41,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-29,30.95,-11.40,60,,0.0668,0.0668,30,2.005,,,,,,,,,,,2.005,20.31,36.41,1.50,0.36,,,2-3 tows performed with 50 µm net
"Benavides, M., Instituto de Oceanografía y Cambio Global, mar.benavides101@doctorandos.ulpgc.es","Benavides et al. (2011), doi:10.3354/ame01534 ",Standard Light Microscopy,2009-08-30,30.89,-11.45,60,,0.0920,0.0920,30,2.759,,,,,,,,,,,2.759,21.15,36.43,0.76,0.49,,,2-3 tows performed with 50 µm net
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-09,13.20,-59.70,175,,,20.7750,30,623.250,,,,,,,,,,,623.250,27.50,32.67,,,,15.85,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-23,13.20,-59.70,175,,,9.8075,30,294.225,,,,,,,,,,,294.225,28.40,32.28,,,,24.25,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-07,13.20,-59.70,175,,,31.6300,30,948.900,,,,,,,,,,,948.900,27.90,33.45,,,,11.98,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-21,13.20,-59.70,175,,,17.9025,30,537.075,,,,,,,,,,,537.075,27.80,33.66,,,,14.93,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-03,13.20,-59.70,175,,,6.5150,30,195.450,,,,,,,,,,,195.450,28.30,33.11,,,,10.25,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-17,13.20,-59.70,175,,,12.7950,30,383.850,,,,,,,,,,,383.850,28.40,33.55,,,,4.23,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-03,13.20,-59.70,175,,,18.9150,30,567.450,,,,,,,,,,,567.450,28.30,33.15,,,,15.38,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-15,13.20,-59.70,170,,,39.5810,30,1187.430,,,,,,,,,,,1187.430,28.30,34.25,,,,15.90,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-29,13.20,-59.70,175,,,10.6500,30,319.500,,,,,,,,,,,319.500,28.00,34.54,,,,16.93,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-12,13.20,-59.70,160,,,6.6220,30,198.660,,,,,,,,,,,198.660,28.10,33.96,,,,11.74,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-29,13.20,-59.70,172,,,31.8275,30,954.825,,,,,,,,,,,954.825,27.70,34.51,,,,11.04,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-12-10,13.20,-59.70,170,,,5.0890,30,152.670,,,,,,,,,,,152.670,27.40,34.52,,,,10.64,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-12-23,13.20,-59.70,175,,,10.7375,30,322.125,,,,,,,,,,,322.125,27.00,24.79,,,,14.50,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-01-07,13.20,-59.70,170,,,54.2365,30,1627.095,,,,,,,,,,,1627.095,26.70,35.27,,,,20.16,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-01-21,13.20,-59.70,165,,,46.0300,30,1380.900,,,,,,,,,,,1380.900,26.40,35.16,,,,18.42,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-02-04,13.20,-59.70,165,,,97.4890,30,2924.670,,,,,,,,,,,2924.670,26.00,35.00,,,,25.94,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-02-15,13.20,-59.70,170,,,3.9820,30,119.460,,,,,,,,,,,119.460,25.30,35.97,,,,22.80,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-03-05,13.20,-59.70,175,,,41.6475,30,1249.425,,,,,,,,,,,1249.425,25.20,35.16,,,,20.13,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-03-18,13.20,-59.70,172,,,13.6310,30,408.930,,,,,,,,,,,408.930,25.20,35.22,,,,15.56,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-04-01,13.20,-59.70,175,,,50.3225,30,1509.675,,,,,,,,,,,1509.675,25.40,34.75,,,,15.03,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-04-18,13.20,-59.70,166,,,39.4075,30,1182.225,,,,,,,,,,,1182.225,25.70,35.04,,,,12.98,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-04-29,13.20,-59.70,175,,,20.9225,30,627.675,,,,,,,,,,,627.675,25.70,34.18,,,,13.90,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-05-13,13.20,-59.70,151,,,85.8240,30,2574.720,,,,,,,,,,,2574.720,26.10,34.15,,,,18.44,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-05-21,13.20,-59.70,44,,,47.0600,30,1411.800,,,,,,,,,,,1411.800,26.30,33.08,,,,12.70,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-05-21,13.20,-59.70,4,,,47.9410,30,1438.230,,,,,,,,,,,1438.230,26.30,33.67,,,,11.84,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-05-27,13.20,-59.70,165,,,74.8580,30,2245.740,,,,,,,,,,,2245.740,,33.35,,,,15.24,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-06-10,13.20,-59.70,157,,,19.1150,30,573.450,,,,,,,,,,,573.450,,34.36,,,,10.76,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-06-24,13.20,-59.70,170,,,18.1000,30,543.000,,,,,,,,,,,543.000,,33.19,,,,10.37,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-07-08,13.20,-59.70,166,,,1.6950,30,50.850,,,,,,,,,,,50.850,,33.84,,,,12.92,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-08-05,13.20,-59.70,168,,,23.3700,30,701.100,,,,,,,,,,,701.100,27.80,32.25,,,,11.97,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-08-25,13.20,-59.70,172,,,9.3145,30,279.435,,,,,,,,,,,279.435,28.10,33.22,,,,10.94,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-10-15,13.20,-59.70,175,,,6.0875,30,182.625,,,,,,,,,,,182.625,28.20,34.57,,,,3.15,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-11-17,13.20,-59.70,175,,,7.3050,30,219.150,,,,,,,,,,,219.150,27.60,35.06,,,,5.88,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-12-10,13.20,-59.70,175,,,9.9675,30,299.025,,,,,,,,,,,299.025,27.40,35.65,,,,14.25,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1976-01-02,13.20,-59.70,156,,,83.3710,30,2501.130,,,,,,,,,,,2501.130,26.40,35.54,,,,26.46,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1976-01-19,13.20,-59.70,45,,,8.2135,30,246.405,,,,,,,,,,,246.405,26.10,35.58,,,,1.91,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1976-01-19,13.20,-59.70,50,,,11.9550,30,358.650,,,,,,,,,,,358.650,26.10,35.64,,,,9.30,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1976-02-10,13.20,-59.70,146,,,3.7920,30,113.760,,,,,,,,,,,113.760,25.80,34.89,,,,13.23,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1976-03-12,13.20,-59.70,146,,,10.8065,30,324.195,,,,,,,,,,,324.195,25.30,34.61,,,,6.05,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1976-04-15,13.20,-59.70,146,,,7.0615,30,211.845,,,,,,,,,,,211.845,26.50,34.33,,,,12.39,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1976-05-14,13.20,-59.70,143,,,23.0525,30,691.575,,,,,,,,,,,691.575,27.10,33.59,,,,25.84,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-09,13.20,-59.68,25,,,18.6125,30,558.375,,,,,,,,,,,558.375,27.50,32.61,,,,2.03,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-16,13.20,-59.68,25,,,20.6400,30,619.200,,,,,,,,,,,619.200,27.70,32.66,,,,2.38,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-23,13.20,-59.68,25,,,4.0825,30,122.475,,,,,,,,,,,122.475,28.00,32.57,,,,2.73,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-07-28,13.20,-59.68,15,,,13.6475,30,409.425,,,,,,,,,,,409.425,28.00,32.92,,,,3.85,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-07,13.20,-59.68,25,,,11.5900,30,347.700,,,,,,,,,,,347.700,27.90,33.24,,,,4.03,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-11,13.20,-59.68,50,,,7.5450,30,226.350,,,,,,,,,,,226.350,28.00,32.27,,,,6.68,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-21,13.20,-59.68,50,,,13.0350,30,391.050,,,,,,,,,,,391.050,27.60,33.72,,,,8.68,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-08-27,13.20,-59.68,50,,,11.3500,30,340.500,,,,,,,,,,,340.500,28.00,33.77,,,,5.28,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-03,13.20,-59.68,25,,,4.0475,30,121.425,,,,,,,,,,,121.425,28.50,33.18,,,,1.83,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-10,13.20,-59.68,25,,,5.2800,30,158.400,,,,,,,,,,,158.400,28.70,33.36,,,,2.28,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-17,13.20,-59.68,25,,,3.7250,30,111.750,,,,,,,,,,,111.750,28.50,33.50,,,,18.85,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-09-24,13.20,-59.68,50,,,9.7675,30,293.025,,,,,,,,,,,293.025,28.80,33.22,,,,8.58,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-03,13.20,-59.68,50,,,5.4650,30,163.950,,,,,,,,,,,163.950,28.00,33.45,,,,5.35,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-08,13.20,-59.68,50,,,28.1475,30,844.425,,,,,,,,,,,844.425,28.30,34.54,,,,6.50,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-15,13.20,-59.68,50,,,14.9525,30,448.575,,,,,,,,,,,448.575,28.30,34.34,,,,6.45,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-22,13.20,-59.68,50,,,16.1700,30,485.100,,,,,,,,,,,485.100,28.10,34.58,,,,5.65,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-10-29,13.20,-59.68,50,,,8.2575,30,247.725,,,,,,,,,,,247.725,28.20,34.58,,,,4.58,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-05,13.20,-59.68,50,,,7.7750,30,233.250,,,,,,,,,,,233.250,28.40,34.51,,,,5.30,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-12,13.20,-59.68,50,,,3.2075,30,96.225,,,,,,,,,,,96.225,28.10,34.05,,,,3.85,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-19,13.20,-59.68,47,,,5.3185,30,159.555,,,,,,,,,,,159.555,27.90,34.49,,,,5.74,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-11-29,13.20,-59.68,50,,,7.0425,30,211.275,,,,,,,,,,,211.275,27.70,34.40,,,,3.28,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-12-03,13.20,-59.68,50,,,12.3500,30,370.500,,,,,,,,,,,370.500,27.60,34.53,,,,4.28,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-12-10,13.20,-59.68,50,,,7.2400,30,217.200,,,,,,,,,,,217.200,27.60,34.54,,,,3.25,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-12-17,13.20,-59.68,50,,,2.0725,30,62.175,,,,,,,,,,,62.175,27.20,34.56,,,,3.18,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-12-23,13.20,-59.68,47,,,5.4090,30,162.270,,,,,,,,,,,162.270,27.10,34.85,,,,3.70,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1974-12-30,13.20,-59.68,50,,,14.1500,30,424.500,,,,,,,,,,,424.500,26.80,35.49,,,,4.73,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-01-07,13.20,-59.68,50,,,38.9175,30,1167.525,,,,,,,,,,,1167.525,26.50,35.23,,,,11.95,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-01-14,13.20,-59.68,50,,,18.2475,30,547.425,,,,,,,,,,,547.425,26.40,35.27,,,,9.45,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-01-21,13.20,-59.68,50,,,48.6975,30,1460.925,,,,,,,,,,,1460.925,26.40,35.14,,,,13.48,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-01-31,13.20,-59.68,50,,,78.2250,30,2346.750,,,,,,,,,,,2346.750,26.30,35.28,,,,14.95,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-02-04,13.20,-59.68,50,,,118.7550,30,3562.650,,,,,,,,,,,3562.650,26.20,35.02,,,,22.88,
,"Borstad (1978) Thesis, McGill University, Canada",Standard Light Microscopy,1975-02-11,13.20,-59.68,50,,,4.0875,30,122.625,,,,,,,,,,,122.625,26.20,35.96,,,,8.50,
,"Brzezinski et al. (1998), doi:10.3354/meps167089",Standard Light Microscopy,1995-08-22,26.00,-159.00,115,,,,,,,,,"Hemiaulus hauckii, Rhizosolenia spp.",2782.5000,0.01,,,,27.8250,27.825,,,,,,,Richelia counts are derived from Hemiaulus and Rhizosolenia cell counts: assuming each Hemiaulus and Rhizosolenia cell contains 2 Richelia trichomes and each Richelia trichome contains 5 cells.
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1973-09-17,33.90,-62.50,125,,,0.5188,30,15.563,,,,,,,,,,,15.563,26.54,36.31,0.232,0.012,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1973-09-19,32.10,-59.80,150,,,0.4288,30,12.863,,,,,,,,,,,12.863,26.99,36.57,0.149,0.056,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1973-09-20,32.40,-59.60,150,,,0.7261,30,21.784,,,,,,,,,,,21.784,26.95,36.56,0.094,0.008,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1973-09-21,32.50,-63.00,175,,,0.0960,30,2.880,,,,,,,,,,,2.880,27.13,36.20,0.257,0.000,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1973-09-28,28.10,-66.70,150,,,0.7288,30,21.863,,,,,,,,,,,21.863,27.40,36.56,0.085,0.006,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
