SOURCE: Related article,SOURCE: Related article,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,INTEGRAL DEPTH (m),Trichodesmium Colonies (x103 m-2),Trichodesmium Free trichomes (x106 m-2),Trichodesmium Total Trichomes (x106 m-2),UCYN Cells (x106 m-2),Richelia Associated Species,Richelia intracellularis (x106 m-2),Calothrix Associated Species,Calothrix intracellularis  (x106 m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes
,Standard Light Microscopy,2002-12-13,6.89,119.18,150,,,,,Hemiaulus,1.325 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2002-12-15,5.00,121.00,150,,,,,"Hemiaulus, Rhizosolenia",7.630 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2002-12-17,5.00,124.08,150,,,,,"Hemiaulus, Rhizosolenia",2.225 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2002-12-18,7.00,129.59,100,,,,,Rhizosolenia,0.188 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2003-01-15,0.00,-160.00,200,,,,,,0.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2003-01-17,0.00,-165.00,200,,,,,,0.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2003-01-18,0.00,-170.00,200,,,,,,0.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2003-01-20,0.00,-175.00,200,,,,,,0.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2003-01-21,0.00,-180.00,200,,,,,,0.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2003-01-23,0.00,175.00,200,,,,,,0.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2003-01-24,0.00,170.00,200,,,,,,0.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2003-01-26,0.00,165.00,200,,,,,Hemiaulus hauckii,0.375 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2003-01-28,0.00,160.00,200,,,,,Rhizosolenia celvei,0.500 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com",Standard Light Microscopy,2004-10-26,-8.37,-141.23,100,,,,,Hemiaulus hauckii,0.400 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2004-10-30,-9.00,-136.85,100,,,,,,0.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2004-11-03,-13.51,-132.11,170,,,,,,0.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2004-11-07,-17.21,-127.96,210,,,,,,0.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2004-11-11,-20.43,-122.91,220,,,,,"Hemiaulus hauckii, Rhizosolenia clevei",2.520 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2004-11-15,-32.51,-117.87,210,,,,,,0.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2004-11-19,-26.02,-114.00,270,,,,,,0.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2004-11-23,-28.50,-104.30,280,,,,,"Hemiaulus hauckii, Rhizosolenia clevei",2.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2004-11-27,-30.03,-98.39,200,,,,,,0.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2004-12-01,-31.82,-91.40,250,,,,,,0.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2004-12-05,-32.67,-84.07,120,,,,,,0.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,2004-12-09,-33.34,-78.10,100,,,,,,0.000 ,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
"Kromkamp et al (1997), doi:10.1016/S0967-0645(97)00015-5",Standard Light Microscopy,1992-11-26,-3.17,40.25,50,44.850 ,,8.970 ,,,,,,,,,,,,
,Standard Light Microscopy,1992-11-27,-3.17,40.25,50,34.550 ,,6.910 ,,,,,,,,,,,,
"Lugomela et al. (2002), doi:10.1023/A:1021017125376",Standard Light Microscopy,1993-01-15,-6.15,39.15,20,,,10.000 ,,,,,,28.60 ,35.00 ,0.00 ,0.00 ,,,"Only year and month are given, day is estimated"
,Standard Light Microscopy,1993-02-15,-6.15,39.15,20,,,1.750 ,,,,,,28.80 ,36.00 ,0.03 ,0.00 ,,,"Only year and month are given, day is estimated"
,Standard Light Microscopy,1993-03-15,-6.15,39.15,20,,,7.250 ,,,,,,28.50 ,36.20 ,0.01 ,0.00 ,,,"Only year and month are given, day is estimated"
,Standard Light Microscopy,1993-04-15,-6.15,39.15,20,,,72.750 ,,,,,,28.80 ,34.00 ,0.00 ,0.00 ,,,"Only year and month are given, day is estimated"
,Standard Light Microscopy,1993-05-15,-6.15,39.15,20,,,21.750 ,,,,,,28.30 ,34.00 ,0.00 ,0.00 ,,,"Only year and month are given, day is estimated"
,Standard Light Microscopy,1993-06-15,-6.15,39.15,20,,,3.750 ,,,,,,27.50 ,34.10 ,0.00 ,0.00 ,,,"Only year and month are given, day is estimated"
,Standard Light Microscopy,1993-07-15,-6.15,39.15,20,,,0.000 ,,,,,,26.20 ,34.00 ,0.00 ,0.00 ,,,"Only year and month are given, day is estimated"
,Standard Light Microscopy,1993-08-15,-6.15,39.15,20,,,0.250 ,,,,,,26.00 ,34.80 ,0.00 ,0.00 ,,,"Only year and month are given, day is estimated"
,Standard Light Microscopy,1993-09-15,-6.15,39.15,20,,,0.250 ,,,,,,26.10 ,34.80 ,0.00 ,0.00 ,,,"Only year and month are given, day is estimated"
,Standard Light Microscopy,1993-10-15,-6.15,39.15,20,,,0.000 ,,,,,,26.50 ,35.00 ,0.00 ,0.00 ,,,"Only year and month are given, day is estimated"
,Standard Light Microscopy,1993-11-15,-6.15,39.15,20,,,0.000 ,,,,,,27.80 ,35.20 ,0.00 ,0.00 ,,,"Only year and month are given, day is estimated"
,Standard Light Microscopy,1993-12-15,-6.15,39.15,20,,,63.500 ,,,,,,28.80 ,35.00 ,0.03 ,0.00 ,,,"Only year and month are given, day is estimated"
"Marumo & Asaoka (1974), doi:10.1007/bf02112896",Standard Light Microscopy,1969-08-28,37.53,-155.00,200,,,0.000 ,,Rhizosolenia,0.000 ,,,,,,,,,Date is estimated from map
,Standard Light Microscopy,1969-09-01,32.05,-155.00,200,,,0.032 ,,Rhizosolenia,0.000 ,,,,,,,,,Date is estimated from map
,Standard Light Microscopy,1969-09-05,26.99,-155.00,200,,,0.015 ,,Rhizosolenia,0.000 ,,,,,,,,,Date is estimated from map
,Standard Light Microscopy,1969-09-09,22.19,-155.00,200,,,0.566 ,,Rhizosolenia,0.001 ,,,,,,,,,Date is estimated from map
,Standard Light Microscopy,1969-09-11,18.63,-155.00,200,,,0.065 ,,Rhizosolenia,0.000 ,,,,,,,,,Date is estimated from map
,Standard Light Microscopy,1969-09-14,14.79,-155.00,200,,,0.141 ,,Rhizosolenia,0.002 ,,,,,,,,,Date is estimated from map
,Standard Light Microscopy,1969-09-17,11.64,-155.00,200,,,0.004 ,,Rhizosolenia,0.000 ,,,,,,,,,Date is estimated from map
,Standard Light Microscopy,1969-09-19,8.63,-155.00,200,,,0.009 ,,Rhizosolenia,0.000 ,,,,,,,,,Date is estimated from map
,Standard Light Microscopy,1969-09-23,4.38,-155.00,200,,,0.100 ,,Rhizosolenia,0.000 ,,,,,,,,,Date is estimated from map
,Standard Light Microscopy,1969-09-27,-0.14,-155.00,200,,,0.006 ,,Rhizosolenia,0.000 ,,,,,,,,,Date is estimated from map
,Standard Light Microscopy,1969-10-01,-2.88,-155.00,200,,,0.003 ,,Rhizosolenia,0.000 ,,,,,,,,,Date is estimated from map
,Standard Light Microscopy,1969-10-05,-8.77,-155.00,200,,,0.003 ,,Rhizosolenia,0.000 ,,,,,,,,,Date is estimated from map
,Standard Light Microscopy,1969-10-10,-13.29,-155.00,200,,,0.000 ,,Rhizosolenia,0.000 ,,,,,,,,,Date is estimated from map
"McCarthy and Carpenter (1979), doi:10.1111/j.1529-8817.1979.tb02965.x.",Standard Light Microscopy,1975-05-25,33.50,-13.00,50,,,0.047 ,,,,,,18.30 ,36.65 ,,,,,
,Standard Light Microscopy,1975-05-26,31.60,-17.00,50,,,0.307 ,,,,,,19.10 ,36.71 ,,,,,
,Standard Light Microscopy,1975-05-27,29.50,-22.00,50,,,0.609 ,,,,,,20.10 ,37.00 ,,,,,
,Standard Light Microscopy,1975-05-28,29.50,-26.00,50,,,0.168 ,,,,,,21.30 ,36.79 ,,,,,
,Standard Light Microscopy,1975-05-29,29.50,-30.00,50,,,0.061 ,,,,,,21.80 ,36.74 ,,,,,
